taxa_label,Collector,Collection_Number,Herbarium,State,County,Latitude,Longitude,ID_prior,ID_final,multiLocus,header_rITS,header_rps,header_ycf1
PDIDY_DI_551,S. Smith,551,RM,Wyoming,Park,43.9215,-109.0978,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp. didymocarpa,FALSE,PDIDY_DI_551 rITS,PDIDY_DI_551 rps,MISSING
PDIDY_LA_14773,W. Fertig & J. Britt,14773,RM,Wyoming,Sheridan,44.9032,-107.3671,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp. lanata,TRUE,PDIDY_LA_14773 rITS,PDIDY_LA_14773 rps,PDIDY_LA_14773 ycf1
PDIDY_LA_3136,A. Salywon & D. Dierig,3136,ISTC,Wyoming,Johnson,44.3256,-106.8136,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp. lanata,FALSE,PDIDY_LA_3136 rITS,PDIDY_LA_3136 rps,MISSING
PDIDY_LA_3138,A. Salywon & D. Dierig,3138,ISTC,Wyoming,Johnson,44.3289,-106.8425,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp. lanata,FALSE,PDIDY_LA_3138 rITS,PDIDY_LA_3138 rps,MISSING
PDIDY_LA_32,K. O'Dea,32,RM,Wyoming,Big Horn,44.8612,-107.853,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp. lanata,TRUE,PDIDY_LA_32 rITS,PDIDY_LA_32 rps,PDIDY_LA_32 ycf1
PDIDY_LA_52,"J. Ratcliff & S. L. O'Kane, Jr.",52,ISTC,Wyoming,Johnson,44.3306,-106.8458,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp. lanata,TRUE,PDIDY_LA_52 rITS,PDIDY_LA_52 rps,PDIDY_LA_52 ycf1
PDIDY_LY_2689,R. Rosentreter,2689,NY,Idaho,Lemhi,44.9761,-113.5358,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp. lyrata,TRUE,PDIDY_LY_2689 rITS,PDIDY_LY_2689 rps,PDIDY_LY_2689 ycf1
PDIDY_LY_3855,R. Rosentreter,3855,NY,Idaho,Lemhi,44.9906,-113.5766,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp. lyrata,TRUE,PDIDY_LY_3855 rITS,PDIDY_LY_3855 rps,PDIDY_LY_3855 ycf1
PDIDY_LY_45,"J. Ratcliff & S. L. O'Kane, Jr.",45,ISTC,Idaho,Lemhi,45.0819,-113.9622,Physaria didymocarpa ssp. lyrata,Physaria didymocarpa ssp. lyrata,TRUE,PDIDY_LY_45 rITS,PDIDY_LY_45 rps,PDIDY_LY_45 ycf1
PDORN_17503,W. Fertig,17503,RM,Wyoming,Lincoln,41.9417,-110.8773,Physaria dornii,Physaria dornii,FALSE,PDORN_17503 rITS,FRAMESHIFT,MISSING
PDORN_17506,W. Fertig,17506,RM,Wyoming,Lincoln,42.0161,-110.8579,Physaria dornii,Physaria dornii,FALSE,PDORN_17506 rITS,PDORN_17506 rps,MISSING
