label,Collection_Number,Collector.x,Collector.y,Physaria_a_priori_1,Physaria_a_priori_2,Physaria_a_priori_3,Physaria_a_priori_4,Physaria_recent,Physaria_syn,Taxon,Taxon_a_posteriori,ID_prior,ID_final,Herbarium.x,Herbarium.y,State.x,State.y,County.x,County.y,Date,Date_parsed,Date_md,App.A,Latitude,Longitude
PBRAS_53,53,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria brassicoides,NA,NA,NA,Physaria brassicoides,Physaria brassicoides,Physaria brassicoides,NA,Physaria brassicoides,NA,ISTC,ISTC,Montana,Wyoming,Crook,Crook,06/17/2014,2014-06-17,2019-06-17,NA,44.6872,-104.5994
PBRAS_54,54,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria brassicoides,NA,NA,NA,Physaria brassicoides,Physaria brassicoides,Physaria brassicoides,NA,Physaria brassicoides,NA,ISTC,ISTC,Montana,Wyoming,Crook,Crook,06/17/2014,2014-06-17,2019-06-17,NA,44.4797,-104.2414
PCOND_16765,16765,W. Fertig,W. Fertig,Physaria condensata,NA,NA,NA,Physaria condensata,Physaria condensata,Physaria condensata,Physaria integrifolia,Physaria condensata,NA,RM,RM,Wyoming,Wyoming,Lincoln,Lincoln,07/04/1996,1996-07-04,2019-07-04,NA,41.687,-110.9143
PCOND_3787,3787,"S.L. O'Kane, Jr.","S.L. O'Kane, Jr.",Physaria condensata,NA,NA,NA,Physaria condensata,Physaria condensata,Physaria condensata,Physaria condensata,Physaria condensata,NA,ISTC,MO,Wyoming,Wyoming,Uinta,Uinta,06/03/1996,1996-06-03,2019-06-03,MISSING,41.3308,-110.4194
PCOND_40,40,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria condensata,NA,NA,NA,Physaria condensata,Physaria condensata,Physaria condensata,NA,Physaria condensata,NA,ISTC,ISTC,Wyoming,Wyoming,Lincoln,Lincoln,06/12/2014,2014-06-12,2019-06-12,NA,41.8997,-110.4142
PCOND_41,41,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria condensata,NA,NA,NA,Physaria condensata,Physaria condensata,Physaria condensata,Physaria integrifolia,Physaria condensata,NA,ISTC,ISTC,Wyoming,Wyoming,Lincoln,Lincoln,06/12/2014,2014-06-12,2019-06-12,NA,41.8261,-110.6447
PDIDY_DI_12677,12677,E. F. Evert,E. F. Evert,Physaria didymocarpa ssp didymocarpa,NA,NA,NA,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp didymocarpa,Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. didymocarpa,NA,RM,RM,Wyoming,Wyoming,Park,Park,06/28/1987,1987-06-28,2019-06-28,x,44.5053,-109.9456
PDIDY_DI_3794,3794,"S.L. O'Kane, Jr.","S.L. O'Kane, Jr.",Physaria didymocarpa ssp didymocarpa,NA,NA,NA,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp didymocarpa,Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. didymocarpa,NA,ISTC,MO,Montana,Montana,Granite,Granite,06/10/1996,1996-06-10,2019-06-10,x,46.7111,-113.2453
PDIDY_DI_46,46,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria didymocarpa ssp didymocarpa,NA,NA,NA,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp. didymocarpa,NA,ISTC,ISTC,Montana,Montana,Granite,Granite,06/14/2014,2014-06-14,2019-06-14,NA,46.7119,-113.2456
PDIDY_DI_47,47,"J. Ratcliff & S. L. O'Kane, Jr.","J. Ratcliff & S. L. O'Kane, Jr.",Physaria didymocarpa ssp didymocarpa,NA,NA,NA,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp didymocarpa,NA,Physaria didymocarpa ssp. didymocarpa,NA,ISTC,ISTC,Montana,Montana,Granite,Gallatin,06/14/2014,2014-06-14,2019-06-14,NA,45.7029,-110.9314
PDIDY_DI_551,551,S. Smith,S. Smith,Physaria didymocarpa ssp didymocarpa,NA,NA,NA,Physaria didymocarpa ssp didymocarpa,Physaria didymocarpa ssp. didymocarpa,Physaria didymocarpa ssp didymocarpa,Physaria saximontana ssp. saximontana,Physaria didymocarpa ssp. didymocarpa,NA,RM,RM,Wyoming,Wyoming,Park,Park,08/25/2012,2012-08-25,2019-08-25,x,43.9215,-109.0978
PDIDY_LA_14773,14773,W. Fertig & J. Britt,W. Fertig & J. Britt,Physaria didymocarpa ssp lanata,NA,NA,NA,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp. lanata,Physaria didymocarpa ssp lanata,NA,Physaria didymocarpa ssp. lanata,NA,RM,RM,Wyoming,Wyoming,Sheridan,Sheridan,06/03/1994,1994-06-03,2019-06-03,x,44.9032,-107.3671
PDIDY_LA_3136,3136,A. Salywon & D. Dierig,A. Salywon & D. Dierig,Physaria brassicoides,Physaria didymocarpa ssp lanata,NA,NA,Physaria didymocarpa ssp lanata,Physaria didymocarpa ssp. lanata,"Physaria brassicoides, Physaria didymocarpa ssp lanata",Physaria didymocarpa ssp lanata ?,Physaria didymocarpa ssp. lanata,NA,ISTC,ISTC,Wyoming,Wyoming,Johnson,Johnson,06/24/1996,1996-06-24,2019-06-24,x,44.3256,-106.8136
