taxa_label,Collector,Collection_Number,Herbarium,State,County,Latitude,Longitude,ID_prior,ID_final,multiLocus,header_rITS,header_rps,header_ycf1,beastSpecies,beastAccession,fastaCommonR
LARGY_7548,Missing,7548,NA,Unknown,NA,NA,NA,Physaria argyreae,,TRUE,LARGY_7548 rITS,LARGY_7548 rps,LARGY_7548 ycf1,L. argyreae,LARGY_7548,LARGY_7548
LFEND_4355,Oroth,4355,NA,New Mexico,McKinley,NA,NA,Physaria fendleri,,TRUE,LFEND_4355 rITS,LFEND_4355 rps,LFEND_4355 ycf1,L. fendlerii,LFEND_4355,LFEND_4355
PACUT_12821,R.L. Hartman with K.H. Dueholm,12821,UTC,Wyoming,Hot Springs,43.6339,-108.0067,Physaria acutifolia,,FALSE,PACUT_12821 rITS,PACUT_12821 rps,,,,
PACUT_14050,W. Fertig,14050,RM,Wyoming,Natrona,42.7004,-106.3326,Physaria acutifolia,,TRUE,PACUT_14050 rITS,PACUT_14050 rps,PACUT_14050 ycf1,P. acutifolia,PACUT_14050,PACUT_14050
PACUT_14222,"N.H., P.K. Holmgren",14222,ISTC,Utah,Grand,38.6653,-109.4194,Physaria acutifolia,,TRUE,PACUT_14222 rITS,PACUT_14222 rps,PACUT_14222 ycf1,P. acutifolia,PACUT_14222,PACUT_14222
PACUT_16125,W. Fertig,16125,RM,Wyoming,Sweetwater,42.0905,-108.7717,Physaria acutifolia,,FALSE,PACUT_16125 rITS,PACUT_16125 rps,,,,
PACUT_26706,B. E. Nelson with R. Nelson,26706,RM,Wyoming,Sublette,42.3843,-110.2758,Physaria acutifolia,,TRUE,PACUT_26706 rITS,PACUT_26706 rps,PACUT_26706 ycf1,P. acutifolia,PACUT_26706,PACUT_26706
PACUT_3721,"S.L. O'Kane, Jr. & J.A. Anderson",3721,ITSC,Colorado,Ouray,38.2914,-107.7589,Physaria acutifolia,,TRUE,PACUT_3721 rITS,PACUT_3721 rps,PACUT_3721 ycf1,P. acutifolia,PACUT_3721,PACUT_3721
PACUT_3769,"S.L. O'Kane, Jr.",3769,RM,Colorado,Rio Blanco,40.1808,-108.8417,Physaria acutifolia,,FALSE,PACUT_3769 rITS,PACUT_3769 rps,,,,
PACUT_48,"J. Ratcliff & S. L. O'Kane, Jr.",48,ISTC,Montana,Carbon,45.0086,-108.4236,Physaria acutifolia,,TRUE,PACUT_48 rITS,PACUT_48 rps,PACUT_48 ycf1,P. acutifolia,PACUT_48,PACUT_48
PACUT_5199,L. M. Moore,5199,RM,Colorado,Montezuma,37.3928,-108.4724,Physaria acutifolia,,TRUE,PACUT_5199 rITS,PACUT_5199 rps,PACUT_5199 ycf1,P. acutifolia,PACUT_5199,PACUT_5199
PACUT_7997,R. Dorn,7997,RM,Wyoming,Uinta,41.0916,-110.0956,Physaria acutifolia,,TRUE,PACUT_7997 rITS,PACUT_7997 rps,,P. acutifolia,PACUT_7997,
PACUT_8621,Rollins and Rollins,8621,RM,Wyoming,Albany,41.1589,-105.9333,Physaria acutifolia,,TRUE,PACUT_8621 rITS,PACUT_8621 rps,PACUT_8621 ycf1,P. acutifolia,PACUT_8621,PACUT_8621
PBRAS_1811,B. Heidel,1811,MONTU,Montana,Powder River,45.025,-105.8917,Physaria brassicoides,,FALSE,PBRAS_1811 rITS,PBRAS_1811 rps,,,,
PBRAS_3122,A. Salywon & D. Dierig,3122,ISTC,Wyoming,Converse,42.6786,-105.3939,Physaria brassicoides,,TRUE,PBRAS_3122 rITS,PBRAS_3122 rps,PBRAS_3122 ycf1,P. brassicoides,PBRAS_3122,PBRAS_3122
PBRAS_3130,A. Salywon & D. Dierig,3130,ISTC,Wyoming,Campbell,42.8261,-105.0561,Physaria brassicoides,,TRUE,PBRAS_3130 rITS,PBRAS_3130 rps,PBRAS_3130 ycf1,P. brassicoides,PBRAS_3130,PBRAS_3130
PBRAS_4225,R. Dorn,4225,RM,Wyoming,Platte,42.1689,-104.8226,Physaria brassicoides,,TRUE,PBRAS_4225 rITS,PBRAS_4225 rps,PBRAS_4225 ycf1,P. brassicoides,PBRAS_4225,PBRAS_4225
PBRAS_53,"J. Ratcliff & S. L. O'Kane, Jr.",53,ISTC,Montana,Crook,44.6872,-104.5994,Physaria brassicoides,,TRUE,PBRAS_53 rITS,PBRAS_53 rps,PBRAS_53 ycf1,P. brassicoides,PBRAS_53,PBRAS_53
